DEBUG 2025-06-24 19:47:17,313 autoreload File C:\Users\ahmet\AppData\Local\Programs\Python\Python313\Lib\asyncio\runners.py first seen with mtime 1738676256.0
DEBUG 2025-06-24 19:47:17,313 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1747690617.326594
DEBUG 2025-06-24 19:47:17,313 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1747690616.4362903
DEBUG 2025-06-24 19:47:17,313 autoreload File C:\Users\ahmet\AppData\Local\Programs\Python\Python313\Lib\email\mime\text.py first seen with mtime 1738676256.0
DEBUG 2025-06-24 19:47:17,313 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\urllib3\util\retry.py first seen with mtime 1747695427.971843
DEBUG 2025-06-24 19:47:17,313 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1747690615.6393304
DEBUG 2025-06-24 19:47:17,313 autoreload File C:\Users\ahmet\AppData\Local\Programs\Python\Python313\Lib\pickle.py first seen with mtime 1738676256.0
DEBUG 2025-06-24 19:47:17,313 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1747690617.3940835
DEBUG 2025-06-24 19:47:17,313 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\django\template\utils.py first seen with mtime 1747690617.4243186
DEBUG 2025-06-24 19:47:17,313 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1747690615.6393304
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\requests\_internal_utils.py first seen with mtime 1747695428.9233112
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\AppData\Local\Programs\Python\Python313\Lib\graphlib.py first seen with mtime 1738676256.0
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1747690617.318504
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1747690617.1550462
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\AppData\Local\Programs\Python\Python313\DLLs\_lzma.pyd first seen with mtime 1738676306.0
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\rest_framework\serializers.py first seen with mtime 1747690631.7848098
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\requests\auth.py first seen with mtime 1747695428.9233112
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1747690617.1299105
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\AppData\Local\Programs\Python\Python313\Lib\operator.py first seen with mtime 1738676256.0
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\AppData\Local\Programs\Python\Python313\DLLs\_wmi.pyd first seen with mtime 1738676306.0
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1747690617.2973983
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\AppData\Local\Programs\Python\Python313\Lib\json\scanner.py first seen with mtime 1738676256.0
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\AppData\Local\Programs\Python\Python313\Lib\xml\__init__.py first seen with mtime 1738676256.0
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\AppData\Local\Programs\Python\Python313\Lib\asyncio\sslproto.py first seen with mtime 1738676256.0
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\rest_framework\fields.py first seen with mtime 1747690631.7689445
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1747690617.326594
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1747690617.4243186
DEBUG 2025-06-24 19:47:17,314 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\django\views\static.py first seen with mtime 1747690617.4783857
